Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
"A1 Active Care, LLC",http://www.a1activecarega.com,OSM (fill),0231010,Personal Care,senior,personal.care@a1activecarega.com,website,info@a1activecare.com; personal.care@a1activecarega.com
Mr. White Creative,https://www.mrwhitecreative.com,OSM (fill),0754314,White Creative,partner,white.creative@mrwhitecreative.com,website,hello@mrwhitecreative.com; white.creative@mrwhitecreative.com
Premier Fitness Source,https://premierfitnesssource.com,OSM (fill),080393732320,Meet The,Founder,meet@premierfitnesssource.com,website,info@premierfitnesssource.com; kevin@premierfitnesssource.com; phil@premierfitnesssource.com; seo@mvomarketing.com; meet@premierfitnesssource.com
Atria North Point,https://www.atriaseniorliving.com/retirement-communities/atria-north-point-alpharetta-ga/apartments,OSM (fill),0376045,Environmental Des,partner,environmental@atriaseniorliving.com,website,accessibility@atriaseniorliving.com; media_inquiries@atriaseniorliving.com; environmental@atriaseniorliving.com
Solidcore,https://solidcore.co/ga/atlanta/avalon,OSM (fill),08210022,Core Collective,partner,core@solidcore.co,website,avalon@solidcore.co; core@solidcore.co
Webb Bridge Animal Hospital,https://webbbridgeanimalhospital.com,OSM (fill),023072101,Care Pet,Owner,care.pet@webbbridgeanimalhospital.com,website,staff@webbbridgevet.com; care.pet@webbbridgeanimalhospital.com
iTHINK Financial,https://www.ithinkfi.org/about/branch-atm-locations/mansell-commons-(roswell-ga)-branch,OSM (fill),,Business Spotlight,Director,business@ithinkfi.org,website,serviceplus@ithinkfi.org; smccabe@ithinkfi.org; business@ithinkfi.org
Mill Creek Animal Hospital,https://www.millcreekvet.net,OSM (fill),0868447751,Comprehensive Care,Team Member,comprehensive.care@millcreekvet.net,website,millcreekanimalhospital@gmail.com; comprehensive.care@millcreekvet.net
Rumi's Kitchen,https://www.rumiskitchen.com,OSM (fill),077597991,,,lauren@greyfoxpr.com,none,lauren@greyfoxpr.com; management@rumiskitchen.com
Fostering Hope Bargain Resale,https://www.fostercares.org,OSM (fill),037495391,Community Engagement,Partner,community@fostercares.org,website,info@fostercares.org; appt@fostercares.org; sponsor@fostercares.org; vol@fostercares.org; community@fostercares.org
west elm,https://www.westelm.com/stores/us-ga-alpharetta-avalon,OSM (fill),0263080415189,Responsible Retail,Partner,responsible.retail@westelm.com,website,customerservice@westelm.com; westelm@o.westelm.com; responsible.retail@westelm.com
La Quinta Inn & Suites Atlanta Alpharetta,https://www.wyndhamhotels.com/laquinta/alpharetta-georgia/la-quinta-atlanta-alpharetta/overview,OSM (fill),07353073,Answer Security,partner,answer.security@wyndhamhotels.com,website,accessibility@wyndham.com; answer.security@wyndhamhotels.com
Granite and Marble Solutions,https://www.graniteandmarblesolutions.com,OSM (fill),01520153,Johns Cre,owner,johns.cre@graniteandmarblesolutions.com,website,info@graniteandmarblesolutions.com; johns.cre@graniteandmarblesolutions.com
13 Hub Lane,https://13hublane.com,OSM (fill),0250101,,,info@13hublane.com,none,info@13hublane.com
WellStar North Fulton Hospital,https://www.wellstar.org/locations/pages/wellstar-north-fulton-hospital.aspx,OSM (fill),09567827,Comprehensive Strok,partner,comprehensive.strok@wellstar.org,website,example@gmail.com; comprehensive.strok@wellstar.org
American Backyard,https://www.americanbackyard.com,OSM (fill),019378607,,,support@americanbackyard.com,none,support@americanbackyard.com
Highland Yoga,https://www.highland-yoga.com,OSM (fill),02174924,Elsie Brotherton,Founder,elsie.brotherton@highland-yoga.com,website,info@highland-yoga.com; elsie.brotherton@highland-yoga.com
The Best Little Flower Shop,https://www.bestlittleflowershop.com,OSM (fill),06406007,,,thestemscollection@gmail.com,none,thestemscollection@gmail.com
Life Time,https://www.lifetime.life/life-time-locations/ga-alpharetta.html,OSM (fill),07979934,Content Membership,Partner,content.membership@lifetime.life,website,alpharetta1@ltfinc.onmicrosoft.com; content.membership@lifetime.life
"Cornerstone Support, Inc.",https://www.cornerstonesupport.com,OSM (fill),05874595,Background Checks,owner,background.checks@cornerstonesupport.com,website,marketing@cornerstonelicensing.com; you@company.com; background.checks@cornerstonesupport.com
