Company Name,Website,Source,WhatsApp Link,Phone Number,WhatsApp Source,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Varcap Informatique,https://depannage-informatique-75019.paris,OSM,https://wa.me/33651507252,+33651507252,wa.me API check,,,votre@email.fr,none,contact@varcap-informatique.net; votre@email.fr
Subskill,https://www.subskill.com,OSM,https://wa.me/33181701565,+33181701565,wa.me API check,,,contact@subskill.com,none,contact@subskill.com
Syma Mobile (SAV),https://www.symamobile.com,OSM,https://wa.me/33900486670,+33900486670,wa.me API check,,,hotline@symamobile.com,none,hotline@symamobile.com
Aerow SAS,http://www.aerow.fr,OSM,https://wa.me/332233374943,+332233374943,wa.me API check,,,contact@aerow.fr,none,contact@aerow.fr
BDD Computing,https://bddcomputing.fr,OSM,https://wa.me/33618303030,+33618303030,wa.me link on site,,,vous@exemple.fr,none,support@bddcomputing.fr; vous@exemple.fr
Excelcio,https://excelcio.com,OSM,https://wa.me/335574639998,+335574639998,site mentions WhatsApp,Excelcio Premier,Partner,excelcio.premier@excelcio.com,website,contact@excelcio.com; rh@excelcio.com; excelcio.premier@excelcio.com
Probayes,https://www.probayes.com,OSM,https://wa.me/33476426413,+33476426413,wa.me API check,,,0-email-jobs@probayes.com,none,0-email-jobs@probayes.com; 1-email-commerce@probayes.com; 2-email-academie.probayes@probayes.com; 3-email-info@probayes.com; rgpd@probayes.com
Easter-eggs,https://www.easter-eggs.com,OSM,https://wa.me/33143350037,+33143350037,wa.me API check,Observational Medical,Partner,observational.medical@easter-eggs.com,website,info@easter-eggs.com; vous@fournisseur.fr; observational.medical@easter-eggs.com
Nuxly,https://www.nuxly.com,OSM,https://wa.me/337424100356,+337424100356,site mentions WhatsApp,Gnosia Exemples,Fondateur,gnosia@nuxly.com,website,bonjour@nuxly.com; fdesmottes@nuxly.com; lvinceslas@nuxly.com; mlateb@nuxly.com; tc@nuxly.com; tgaullier@nuxly.com; gnosia@nuxly.com
Contrôle-C,https://ctrlc.fr,OSM,https://wa.me/33658602707,+33658602707,wa.me API check,,,seo@ctrlc.fr,none,seo@ctrlc.fr
