Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
ABA Protection,https://abaprotection.com,OSM (fill),08050809,Cage Code,cto,cage@abaprotection.com,website,security@abaprotection.com; cage@abaprotection.com
Insite Antiques & Design,http://www.insitead.com,OSM (fill),04707440405034731665,Ina Nouel,Owner,ina.nouel@insitead.com,website,info@insitead.com; ina.nouel@insitead.com
Healthy Spirits,http://healthy-spirits.blogspot.com,OSM (fill),07404582795,Beer Veteran,Manager,beer.veteran@healthy-spirits.blogspot.com,website,healthyspirits.sanfrancisco@gmail.com; beer.veteran@healthy-spirits.blogspot.com
Lumiphore,https://lumiphore.com,OSM,02458362,Directors David,CEO,directors.david@lumiphore.com,website,info@lumiphore.com; directors.david@lumiphore.com
Rodeo Money,https://www.rodeomoney.com,OSM,01520153,Acme Publishers,partner,acme.publishers@rodeomoney.com,website,hello@rodeomoney.com; jane@framer.com; acme.publishers@rodeomoney.com
Ocean Climate Center,https://farallones.noaa.gov/about,OSM,0191118,National Marine,owner,national.marine@farallones.noaa.gov,website,brian.johnson@noaa.gov; national.marine@farallones.noaa.gov
Institute for Geographic Information Science,https://gis.sfsu.edu,OSM,0680938,Affiliated Centers,Partner,affiliated.centers@gis.sfsu.edu,website,cmartin9@sfsu.edu; affiliated.centers@gis.sfsu.edu
Framework Computer,https://frame.work,OSM,0143258,Nirav Patel,Managing Director,nirav.patel@frame.work,website,support@frame.work; media@frame.work; nirav.patel@frame.work
Nike Missile Site SF-88,https://www.nps.gov/goga/nike-missile-site.htm,OSM (fill),0230112,Golden Gate,partner,golden.gate@nps.gov,website,goga_marinheadlands_info@nps.gov; golden.gate@nps.gov
Live Fit Gym,https://livefitgym.com,OSM (fill),0260805,Elite Training,cto,elite.training@livefitgym.com,website,admin@livefitgym.com; elite.training@livefitgym.com
Otherlab,https://www.otherlab.com,OSM,01520153,Chief Scientist,Founder,chief@otherlab.com,website,info@otherlab.com; partner@otherlab.com; press@otherlab.com; saul@otherlab.com; chief@otherlab.com
Whitechapel,https://www.whitechapelsf.com,OSM,09541554234405603,,,events@whitechapelsf.com,none,info@whitechapelsf.com; events@whitechapelsf.com; jessie@bxbhospitality.com
