Company Name,Website,Source,WhatsApp Link,Phone Number,WhatsApp Source,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Sherlock Security Systems,http://sherlocksecuritysystems.com,OSM,https://wa.me/17184352675,+17184352675,wa.me API check,Approved Testing,cto,approved.testing@sherlocksecuritysystems.com,website,jane@company.com; service@sherlocksecuritysystems.com; you@company.com; approved.testing@sherlocksecuritysystems.com
Lounge Lizard,https://www.loungelizard.com,OSM,https://wa.me/18884440110,+18884440110,wa.me API check,Life Nation,CEO,life.nation@loungelizard.com,website,sales@loungelizard.com; life.nation@loungelizard.com
Billion Oyster Project,https://www.billionoysterproject.org,OSM,https://wa.me/15273395324,+15273395324,wa.me API check,Executive Director,Co-Founder,executive@billionoysterproject.org,website,info@billionoysterproject.org; corporategiving@billionoysterproject.org; corporatevolunteer@billionoysterproject.org; educate@billionoysterproject.org; media@billionoysterproject.org; executive@billionoysterproject.org
NSA FAIRVIEW data surveillance hub,https://theintercept.com/2018/06/25/att-internet-nsa-spy-hubs,OSM,https://wa.me/11528304345,+11528304345,site mentions WhatsApp,Cogent Communications,CEO,cogent@theintercept.com,website,moltke@theintercept.com; ryan.gallagher@theintercept.com; cogent@theintercept.com
JZ Surveillance Systems,https://www.rintercom.com,OSM,https://wa.me/16506567540,+16506567540,wa.me API check,,,info@rintercom.com,none,info@rintercom.com
ORE Design + Technology,https://ore-design.com,OSM,https://wa.me/15881016207,+15881016207,wa.me API check,Thomas Kosbau,Founder,thomas.kosbau@ore-design.com,website,hello@ore-design.com; info@oredesign.org; thomas.kosbau@ore-design.com
New York Computer Help,https://www.newyorkcomputerhelp.com,OSM,https://wa.me/12125990339,+12125990339,wa.me link on site,Became Their,Partner,became.their@newyorkcomputerhelp.com,website,support@newyorkcomputerhelp.com; became.their@newyorkcomputerhelp.com
Ester Digital,https://ester.co,OSM,https://wa.me/13921568627,+13921568627,wa.me API check,,,hello@ester.co,none,hello@ester.co
StatenWeb,https://statenweb.com,OSM,https://wa.me/17185698123,+17185698123,wa.me API check,Salmon Real,owner,salmon@statenweb.com,website,contact@statenweb.com; notices@statenweb.com; salmon@statenweb.com
Digital Arts & Cinema Technology High School,https://www.digitaltechhs.org,OSM,https://wa.me/16249999988,+16249999988,wa.me API check,,,cfox@digitaltechhs.org,none,cfox@digitaltechhs.org
Reliable Office Systems,https://www.reliableoffice.com,OSM,https://wa.me/18007846001,+18007846001,wa.me API check,Customer Testimonials,Partner,customer@reliableoffice.com,website,payables@reliableoffice.com; sales@reliableoffice.com; customer@reliableoffice.com
ACE Institute of Technology,https://www.acecareer.edu,OSM,https://wa.me/17185753223,+17185753223,wa.me API check,Certified Instru,cto,certified.instru@acecareer.edu,website,info@acecareer.edu; certified.instru@acecareer.edu
MongoDB,https://www.mongodb.com,OSM,https://wa.me/18446664632,+18446664632,wa.me API check,Learning Hub,partner,learning.hub@mongodb.com,website,learning.hub@mongodb.com
Armada Boost,https://armadaboost.com,OSM,https://wa.me/14816438832,+14816438832,wa.me API check,Accounts Hit,owner,accounts.hit@armadaboost.com,website,admin@armadaboost.com; support@armadaboost.com; accounts.hit@armadaboost.com
Community Healthcare Network,https://www.chnnyc.org/long-island-city-center,OSM,https://wa.me/17184829648,+17184829648,site mentions WhatsApp,,,feedback@chnnyc.org,none,feedback@chnnyc.org
Community Healthcare Network,https://www.chnnyc.org/tremont-health-center,OSM,https://wa.me/17182942468,+17182942468,site mentions WhatsApp,,,feedback@chnnyc.org,none,feedback@chnnyc.org
Community Healthcare Network - Williamsburg,https://www.chnnyc.org/williamsburg,OSM,https://wa.me/17184865741,+17184865741,site mentions WhatsApp,,,feedback@chnnyc.org,none,feedback@chnnyc.org
Unity Center for Urban Technologies,https://www.unitycenterhs.org,OSM,https://wa.me/12125760530,+12125760530,wa.me API check,Bell Schedule,Director,bell.schedule@unitycenterhs.org,website,bell.schedule@unitycenterhs.org
Community Healthcare Network,https://www.chnnyc.org/south-bronx,OSM,https://wa.me/12125452417,+12125452417,site mentions WhatsApp,,,feedback@chnnyc.org,none,feedback@chnnyc.org
