Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Kairos Design Studio,https://www.kairosme.com/contact,OSM (fill),,Creative Director,Founder,creative@kairosme.com,website,hello@kairosme.com; bridget@kairosme.com; marcus.bradshaw@template.com; rob@kairosme.com; sean@kairosme.com; creative@kairosme.com
"Plumbing by Jay, INC.",https://plumbingbyjay.com,OSM (fill),08456584,Dealing Directly,Owner,dealing.directly@plumbingbyjay.com,website,micah@micahrich.com; dealing.directly@plumbingbyjay.com
VetSavers Pet Hospital,http://vetsaversdallas.com,OSM (fill),09375185,Elise Veterinary,Manager,elise.veterinary@vetsaversdallas.com,website,infodallas@vetsaverspethospital.com; elise.veterinary@vetsaversdallas.com
Community Unitarian Universalist Church,https://www.communityuuchurch.org,OSM (fill),0180126,Happy Feet,Founder,happy.feet@communityuuchurch.org,website,info@communityuuchurch.org; happy.feet@communityuuchurch.org
Gold Medal Pools,https://www.goldmedalpools.com,OSM (fill),+19727124653,Every Stage,Owner,every.stage@goldmedalpools.com,website,support@goldmedalpools.com; every.stage@goldmedalpools.com
NTT Data,http://www.onelegacywest.com,OSM,01520153,Exit Sabine,CEO,exit.sabine@onelegacywest.com,website,ui@5.0; exit.sabine@onelegacywest.com
KidStrong,https://www.kidstrong.com/start/west-plano,OSM (fill),+14699916101,Megin Sharp,Founder,megin@kidstrong.com,website,privacy@kidstrong.com; westplano@kidstrong.com; megin@kidstrong.com
Heritage Farmstead Museum,https://www.heritagefarmstead.org,OSM (fill),0260706,Mary Alice,owner,mary.alice@heritagefarmstead.org,website,info@heritagefarmstead.org; mary.alice@heritagefarmstead.org
Orangetheory Fitness,https://www.orangetheory.com/en-us/locations/texas/plano/1300-w-plano-parkway-140,OSM (fill),0100301,Author Share,partner,author.share@orangetheory.com,website,studiomanager1274@orangetheoryfitness.com; author.share@orangetheory.com
Body Machine Fitness,https://bodymachinefitness.com,OSM (fill),0260709,Ahead Influencer,founder,ahead@bodymachinefitness.com,website,supportplano@bodymachinefitness.com; ahead@bodymachinefitness.com
24 Hour Fitness,https://www.24hourfitness.com/gyms/plano-tx/east-plano-super-sport,OSM (fill),0343260715123811,Other Sharing,owner,other.sharing@24hourfitness.com,website,ccpadr@24hourfit.com; cpm@24hourfit.com; cpo@24hourfit.com; other.sharing@24hourfitness.com
Sheraton Stonebriar Gym,https://www.marriott.com/en-us/hotels/dalsa-sheraton-stonebriar-hotel/experiences,OSM (fill),0855590,Tony Capuano,CEO,tony.capuano@marriott.com,website,faysal.bohmo@gmail.com; tony.capuano@marriott.com
Nelson Forensics,https://www.nelsonforensics.com,OSM (fill),0260225,Legal Professional,Owner,legal@nelsonforensics.com,website,expert@nelsonforensics.com; legal@nelsonforensics.com
Toyota Connected North America,https://www.toyotaconnected.com,OSM (fill),010001000,Large Language,Owner,large.language@toyotaconnected.com,website,contact@toyotaconnected.com; large.language@toyotaconnected.com
